cate,icon,title,position,department,term,loc,cate_en,title_en,position_en,department_en,loc_en
学习经历,Penn,宾夕法尼亚大学,研究生,设计学院 · 城市规划智慧城市方向（主修）产品设计（辅修）,2024-2026,美国，费城,School Experience,University of Pennsylvania,Master's,Weitzman School of Design · City Planning (Smart Cities Concentration); Integrated Product Design Certificate,"U.S., Philadelphia"
学习经历,SCUT,华南理工大学,本科,建筑学院 · 城乡规划（工学）,2019-2024,中国，广州,School Experience,South China University of Technology,Bachelor of Engineering,School of Architecture,"China, Guangzhou"
工作经历,FUTU,富途,正职 · 产品策划,架构与用户体验,2026,中国，深圳/香港,Work,Futu Tech,Summer intern · Product Manager,UX Architect Group,"China, Shenzhen/HongKong"
工作经历,Meituan,美团,暑期实习 · 产品经理,地图服务,2025,中国，北京,Work,Meituan Tech,full-time · Product Manager,Map Department,"China, Beijing"
